<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.12	10300.318	10394.966	10239.420	10359.478	55221	0	143
2019.07.13	10359.453	10490.851	10292.870	10455.099	85263	0	144
2019.07.14	10455.082	10455.082	10168.055	10224.414	85281	0	142
2019.07.15	10224.404	10304.895	10111.146	10125.794	85263	0	141
2019.07.16	10125.766	10237.912	10040.149	10094.447	85202	0	140
2019.07.17	10094.400	10347.828	10046.076	10150.451	85280	0	140
2019.07.18	10150.441	10439.745	10123.717	10414.997	85223	0	141
2019.07.19	10414.981	10603.719	10384.150	10408.830	85290	0	145
2019.07.20	10408.796	10681.424	10389.944	10539.639	85254	0	145
2019.07.21	10539.623	10688.985	10344.132	10358.376	85287	0	144
2019.07.22	10358.358	10363.139	10118.243	10237.739	85212	0	141
2019.07.23	10237.701	10440.089	10237.701	10333.424	85243	0	143
2019.07.24	10333.404	10333.404	10008.393	10014.569	85178	0	140
2019.07.25	10014.560	10049.654	9793.522	9881.597	85271	0	137
2019.07.26	9881.591	10127.724	9850.340	9981.175	85204	0	137
2019.07.27	9981.162	10086.891	9821.559	9866.161	85156	0	137
2019.07.28	9866.149	9867.392	9676.833	9754.370	85156	0	135
2019.07.29	9754.358	10002.312	9745.425	9953.465	85210	0	136
2019.07.30	9953.446	10169.946	9842.935	10073.337	85216	0	137
2019.07.31	10073.315	10126.347	10001.250	10060.532	85091	0	140
2019.08.01	10060.529	10586.105	10049.012	10514.018	85240	0	140
2019.08.02	10514.017	10549.266	10174.549	10227.103	85196	0	142
2019.08.03	10227.088	10563.944	10207.501	10372.765	85311	0	142
2019.08.04	10372.762	10392.329	9998.452	10101.305	85228	0	140
2019.08.05	10101.279	10125.566	9945.275	9978.811	85239	0	139
2019.08.06	9978.779	10066.311	9940.983	10010.668	85229	0	139
2019.08.07	10010.615	10174.211	9966.291	9984.728	85232	0	139
2019.08.08	9984.713	10107.018	9955.217	10006.023	85170	0	139
2019.08.09	10005.994	10178.529	9967.802	9989.996	85162	0	139
2019.08.10	9989.979	10118.536	9884.386	10029.763	85186	0	138
2019.08.11	10029.760	10176.122	9980.466	10121.904	85149	0	139
2019.08.12	10121.901	10381.828	10119.812	10345.049	85235	0	141
