<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1995.01.02	1.26260	1.26360	1.25280	1.25340	1241	0	50
1995.01.03	1.25330	1.26030	1.25290	1.25560	1251	0	50
1995.01.04	1.25570	1.25740	1.25190	1.25290	821	0	50
1995.01.05	1.25280	1.26200	1.25280	1.26020	1101	0	50
1995.01.06	1.25970	1.26250	1.24960	1.25170	1781	0	50
1995.01.09	1.25170	1.27560	1.25090	1.27110	3001	0	50
1995.01.10	1.27090	1.27880	1.26930	1.27440	1551	0	50
1995.01.11	1.27460	1.27700	1.27190	1.27350	911	0	50
1995.01.12	1.27350	1.28170	1.27010	1.28020	1651	0	50
1995.01.13	1.28020	1.28130	1.27180	1.27560	1441	0	50
1995.01.16	1.27550	1.28060	1.27170	1.27720	1611	0	50
1995.01.17	1.27720	1.27950	1.27110	1.27620	1581	0	50
1995.01.18	1.27620	1.28240	1.27270	1.27420	1741	0	50
1995.01.19	1.27420	1.29430	1.27300	1.29130	2551	0	50
1995.01.20	1.29110	1.29770	1.28960	1.29260	1471	0	50
1995.01.23	1.29250	1.29700	1.29040	1.29160	1231	0	50
1995.01.24	1.29150	1.29530	1.29040	1.29370	761	0	50
1995.01.25	1.29390	1.29960	1.28720	1.28960	2051	0	50
1995.01.26	1.28980	1.29290	1.28780	1.28890	931	0	50
1995.01.27	1.28890	1.29480	1.28750	1.29040	1311	0	50
1995.01.30	1.29060	1.30280	1.29060	1.29940	1561	0	50
1995.01.31	1.29930	1.30180	1.28020	1.28340	2731	0	50
1995.02.01	1.28250	1.28930	1.28080	1.28840	1111	0	50
1995.02.02	1.28840	1.29000	1.28550	1.28770	831	0	50
1995.02.03	1.28780	1.29010	1.27750	1.28040	1781	0	50
1995.02.06	1.28040	1.28090	1.27460	1.27870	1091	0	50
1995.02.07	1.27920	1.28040	1.27180	1.27270	1071	0	50
1995.02.08	1.27280	1.27920	1.27230	1.27790	871	0	50
1995.02.09	1.27780	1.28180	1.27670	1.27960	841	0	50
1995.02.10	1.27960	1.28840	1.27570	1.28800	1701	0	50
1995.02.13	1.28800	1.29000	1.28510	1.28610	791	0	50
1995.02.14	1.28590	1.29830	1.28490	1.29680	1591	0	50
1995.02.15	1.29660	1.29800	1.29230	1.29610	1091	0	50
1995.02.16	1.29680	1.31480	1.29560	1.31180	2341	0	50
1995.02.17	1.31180	1.32410	1.31110	1.32150	1631	0	50
1995.02.20	1.32180	1.32950	1.32060	1.32340	1621	0	50
1995.02.21	1.32320	1.33230	1.31570	1.33090	2551	0	50
1995.02.22	1.33100	1.33520	1.32220	1.32870	2371	0	50
1995.02.23	1.32870	1.33520	1.32460	1.33260	1731	0	50
1995.02.24	1.33250	1.33980	1.32470	1.33740	2531	0	50
1995.02.27	1.33760	1.34600	1.32990	1.32990	2451	0	50
1995.02.28	1.32990	1.34310	1.32990	1.34010	1621	0	50
1995.03.01	1.33970	1.34380	1.33190	1.33840	2251	0	50
1995.03.02	1.33810	1.36240	1.33330	1.35770	3861	0	50
1995.03.03	1.35810	1.38610	1.34460	1.38320	5791	0	50
1995.03.06	1.38370	1.40990	1.38170	1.39160	4851	0	50
1995.03.07	1.39200	1.43810	1.39050	1.42450	6271	0	50
1995.03.08	1.42470	1.45350	1.39230	1.40030	9801	0	50
1995.03.09	1.40030	1.41390	1.38310	1.39160	5291	0	50
1995.03.10	1.39080	1.39870	1.37620	1.38910	4331	0	50
1995.03.13	1.38960	1.39610	1.38670	1.38770	1691	0	50
1995.03.14	1.38760	1.39260	1.37990	1.38340	2121	0	50
1995.03.15	1.38310	1.41220	1.38210	1.40960	3371	0	50
1995.03.16	1.40910	1.41780	1.39700	1.39950	3201	0	50
1995.03.17	1.39980	1.41570	1.39900	1.41450	1871	0	50
1995.03.20	1.41400	1.41520	1.39040	1.39340	2901	0	50
1995.03.21	1.39370	1.40140	1.37980	1.38480	3431	0	50
1995.03.22	1.38500	1.39750	1.38070	1.39450	2411	0	50
1995.03.23	1.39550	1.40060	1.39020	1.39440	1971	0	50
1995.03.24	1.39450	1.39450	1.37630	1.37780	1971	0	50
1995.03.27	1.37830	1.39450	1.37830	1.39060	2011	0	50
1995.03.28	1.39040	1.41140	1.39000	1.40990	2331	0	50
1995.03.29	1.41020	1.42370	1.40790	1.41270	2911	0	50
1995.03.30	1.41320	1.42100	1.37700	1.38920	6401	0	50
1995.03.31	1.38960	1.43180	1.38510	1.42890	5411	0	50
1995.04.03	1.42890	1.43270	1.41580	1.43130	3141	0	50
1995.04.04	1.43130	1.43180	1.40920	1.41730	3121	0	50
1995.04.05	1.41720	1.42990	1.41160	1.42500	2881	0	50
1995.04.06	1.42470	1.43790	1.41630	1.42790	4001	0	50
1995.04.07	1.42780	1.43240	1.39900	1.40230	4131	0	50
1995.04.10	1.40250	1.40660	1.37880	1.38240	3551	0	50
1995.04.11	1.38220	1.39890	1.38220	1.39370	2191	0	50
1995.04.12	1.39340	1.40090	1.39000	1.39360	2161	0	50
1995.04.13	1.39300	1.41500	1.39220	1.40490	3371	0	50
1995.04.14	1.40520	1.41270	1.40250	1.40610	1951	0	50
1995.04.17	1.41110	1.43210	1.40860	1.43000	2811	0	50
1995.04.18	1.43020	1.44760	1.42480	1.44410	3171	0	50
1995.04.19	1.44360	1.45200	1.42140	1.43050	4811	0	50
1995.04.20	1.43000	1.43180	1.40760	1.41260	3101	0	50
1995.04.21	1.41220	1.44370	1.40840	1.44080	4201	0	50
1995.04.24	1.43970	1.44620	1.41560	1.42080	4231	0	50
1995.04.25	1.41950	1.43910	1.41730	1.42570	3741	0	50
1995.04.26	1.42570	1.43650	1.41090	1.42710	4981	0	50
