<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1995.01.01	1.26260	1.26360	1.24960	1.25170	6195	0	50
1995.01.08	1.25170	1.28170	1.25090	1.27560	8555	0	50
1995.01.15	1.27550	1.29770	1.27110	1.29260	8955	0	50
1995.01.22	1.29250	1.29960	1.28720	1.29040	6285	0	50
1995.01.29	1.29060	1.30280	1.27750	1.28040	8015	0	50
1995.02.05	1.28040	1.28840	1.27180	1.28800	5575	0	50
1995.02.12	1.28800	1.32410	1.28490	1.32150	7445	0	50
1995.02.19	1.32180	1.33980	1.31570	1.33740	10805	0	50
1995.02.26	1.33760	1.38610	1.32990	1.38320	15975	0	50
1995.03.05	1.38370	1.45350	1.37620	1.38910	30545	0	50
1995.03.12	1.38960	1.41780	1.37990	1.41450	12255	0	50
1995.03.19	1.41400	1.41520	1.37630	1.37780	12685	0	50
1995.03.26	1.37830	1.43180	1.37700	1.42890	19065	0	50
1995.04.02	1.42890	1.43790	1.39900	1.40230	17275	0	50
1995.04.09	1.40250	1.41500	1.37880	1.40610	13225	0	50
1995.04.16	1.41110	1.45200	1.40760	1.44080	18095	0	50
1995.04.23	1.43970	1.44620	1.40190	1.40860	18425	0	50
1995.04.30	1.40870	1.43480	1.40180	1.42440	9915	0	50
1995.05.07	1.42500	1.43580	1.34280	1.34820	14615	0	50
1995.05.14	1.34830	1.36940	1.33800	1.35270	16595	0	50
1995.05.21	1.35260	1.42230	1.34710	1.41970	14005	0	50
1995.05.28	1.41980	1.42350	1.36090	1.38920	19785	0	50
1995.06.04	1.38910	1.40010	1.37400	1.39200	10885	0	50
1995.06.11	1.39220	1.40380	1.38320	1.39860	11275	0	50
1995.06.18	1.39830	1.41470	1.39300	1.41300	9575	0	50
1995.06.25	1.41300	1.42040	1.39370	1.41520	11055	0	50
1995.07.02	1.41500	1.42040	1.39470	1.40420	8145	0	50
1995.07.09	1.40420	1.41060	1.38360	1.40400	9715	0	50
1995.07.16	1.40400	1.42490	1.39710	1.40900	7925	0	50
1995.07.23	1.40880	1.42060	1.40120	1.41680	8495	0	50
1995.07.30	1.41740	1.42470	1.39450	1.39770	9035	0	50
1995.08.06	1.39780	1.40080	1.34880	1.35240	9635	0	50
1995.08.13	1.35240	1.36730	1.31000	1.32440	17635	0	50
1995.08.20	1.32370	1.33240	1.30720	1.32950	11305	0	50
1995.08.27	1.32990	1.33980	1.32020	1.33840	8235	0	50
1995.09.03	1.33820	1.34250	1.31380	1.33160	9445	0	50
1995.09.10	1.33180	1.33330	1.30000	1.31730	10475	0	50
1995.09.17	1.31750	1.38860	1.30940	1.37280	18235	0	50
1995.09.24	1.37280	1.38300	1.35550	1.36960	11265	0	50
