<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.06.04	266.50	268.40	264.60	266.00	711	0	0
2001.06.05	265.50	267.60	264.25	266.50	571	0	0
2001.06.06	266.00	268.30	264.80	266.50	651	0	0
2001.06.07	265.50	266.80	265.00	266.80	231	0	0
2001.06.08	266.30	275.50	265.60	274.00	1211	0	0
2001.06.11	273.00	274.25	266.10	268.40	1171	0	0
2001.06.12	267.80	273.25	266.60	272.00	911	0	0
2001.06.13	271.50	274.15	269.05	272.60	911	0	0
2001.06.14	272.15	277.40	270.45	276.25	981	0	0
2001.06.15	275.20	276.85	269.75	271.80	1081	0	0
2001.06.18	271.00	274.65	270.60	273.00	611	0	0
2001.06.19	272.15	275.50	271.55	273.90	616	0	0
2001.06.20	273.40	274.80	270.65	273.00	791	0	0
2001.06.21	272.50	274.65	270.85	273.20	691	0	0
2001.06.22	272.70	276.20	271.60	272.90	901	0	0
2001.06.25	272.30	275.65	272.15	274.20	511	0	0
2001.06.26	274.00	279.55	272.60	276.40	1151	0	0
2001.06.27	276.25	277.95	270.95	272.85	1061	0	0
2001.06.28	272.35	276.00	267.30	269.50	1456	0	0
2001.06.29	269.25	272.65	268.75	271.10	596	0	0
2001.07.02	270.60	271.45	267.40	269.80	731	0	0
2001.07.03	269.30	272.50	267.25	268.00	921	0	0
2001.07.04	267.50	269.15	267.15	268.20	331	0	0
2001.07.05	267.70	268.95	264.45	265.60	691	0	0
2001.07.06	265.10	267.90	264.15	266.50	611	0	0
2001.07.09	266.50	267.65	265.10	266.90	471	0	0
2001.07.10	266.40	268.25	265.60	266.60	511	0	0
2001.07.11	266.10	270.35	265.50	268.70	711	0	0
2001.07.12	268.75	269.25	265.25	267.10	636	0	0
2001.07.13	266.60	268.30	265.65	267.60	431	0	0
2001.07.16	266.95	269.75	266.25	267.75	621	0	0
2001.07.17	266.75	268.10	266.25	268.10	236	0	0
2001.07.18	268.10	271.60	266.75	271.00	681	0	0
2001.07.19	270.75	272.35	267.25	269.80	926	0	0
2001.07.20	268.75	271.85	268.35	270.30	546	0	0
2001.07.23	270.15	270.80	268.25	269.10	406	0	0
2001.07.24	268.60	270.65	267.95	270.00	401	0	0
2001.07.25	269.50	270.25	266.75	268.20	571	0	0
2001.07.26	267.50	269.00	265.35	266.70	651	0	0
2001.07.27	266.20	268.45	265.00	267.80	531	0	0
2001.07.30	267.60	268.75	264.45	265.50	651	0	0
2001.07.31	265.00	267.65	264.00	267.10	521	0	0
2001.08.01	266.60	269.25	265.90	268.20	511	0	0
2001.08.02	267.70	269.10	266.65	268.30	431	0	0
2001.08.03	267.80	269.55	266.25	268.80	561	0	0
2001.08.06	268.50	269.25	266.65	268.00	471	0	0
2001.08.07	267.15	268.45	265.75	267.90	466	0	0
2001.08.08	267.40	269.25	265.75	268.60	581	0	0
2001.08.09	267.60	273.90	266.60	273.90	831	0	0
2001.08.10	273.90	277.55	272.10	274.80	1001	0	0
2001.08.13	273.50	277.90	273.50	276.20	611	0	0
2001.08.14	275.20	276.50	273.00	276.50	571	0	0
2001.08.15	276.50	278.45	274.25	276.10	801	0	0
2001.08.16	275.60	277.35	274.15	275.60	641	0	0
2001.08.17	275.10	281.70	274.40	279.50	1021	0	0
2001.08.20	279.00	280.05	275.35	276.30	671	0	0
2001.08.21	275.80	279.00	273.45	275.30	1061	0	0
2001.08.22	274.80	278.55	273.95	275.00	901	0	0
2001.08.23	274.50	276.90	273.75	275.60	521	0	0
2001.08.24	275.10	276.35	271.55	273.10	761	0	0
2001.08.27	272.25	274.95	270.95	273.10	716	0	0
2001.08.28	272.55	273.25	270.15	272.55	621	0	0
2001.08.29	272.00	274.85	271.70	273.90	441	0	0
2001.08.30	273.00	275.05	271.75	275.05	456	0	0
2001.08.31	274.95	276.75	271.95	274.70	936	0	0
2001.09.03	274.45	274.95	272.60	273.75	401	0	0
2001.09.04	273.25	274.25	270.75	272.40	616	0	0
