<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.06.01	266.50	279.55	264.25	271.10	16815	0	0
2001.07.01	270.60	272.50	264.00	267.10	12787	0	0
2001.08.01	266.60	281.70	265.75	274.70	15583	0	0
2001.09.01	274.45	296.10	270.45	293.45	24967	0	0
2001.10.01	292.00	294.62	273.95	279.75	18529	0	0
2001.11.01	279.25	282.50	271.70	274.65	12867	0	0
2001.12.01	274.15	281.75	270.95	279.20	12262	0	0
2002.01.01	278.20	290.00	276.55	282.95	15195	0	0
2002.02.01	282.70	309.30	281.45	296.80	19889	0	0
2002.03.01	296.30	305.27	287.40	302.75	13966	0	0
2002.04.01	301.75	313.00	296.75	308.70	16491	0	0
2002.05.01	308.20	330.25	305.95	326.80	19689	0	0
2002.06.01	326.30	332.15	309.90	314.70	20440	0	0
2002.07.01	313.70	326.40	300.50	303.80	20659	0	0
2002.08.01	303.30	318.50	298.45	313.00	19092	0	0
2002.09.01	312.50	328.30	310.90	324.17	24752	0	0
2002.10.01	323.50	324.72	308.50	317.77	25501	0	0
2002.11.01	317.75	325.40	315.62	317.90	26336	0	0
2002.12.01	318.47	354.72	315.70	347.80	34568	0	0
2003.01.01	348.05	374.22	342.11	368.15	53463	0	0
2003.02.01	368.15	388.75	341.00	349.95	55057	0	0
2003.03.01	349.50	358.60	325.49	336.55	44959	0	0
2003.04.01	337.11	340.35	318.88	338.55	41919	0	0
2003.05.01	339.45	375.02	337.70	364.85	46321	0	0
2003.06.01	363.25	370.30	342.40	345.75	44225	0	0
2003.07.01	345.85	368.00	340.10	354.25	59860	0	0
2003.08.01	355.32	378.00	344.95	375.55	48841	0	0
2003.09.01	375.00	394.00	369.55	385.35	47155	0	0
2003.10.01	385.50	392.70	366.00	384.50	60879	0	0
2003.11.01	384.60	401.10	375.65	398.05	73323	0	0
2003.12.01	397.50	417.90	396.55	415.75	25870	0	0
2004.01.01	415.35	430.70	396.30	402.40	11237	0	0
2004.02.01	402.30	417.50	390.60	396.24	15643	0	0
2004.03.01	396.25	427.60	387.90	427.18	19703	0	0
2004.04.01	427.21	432.60	377.38	387.59	22081	0	0
2004.05.01	387.59	396.98	371.45	395.38	22962	0	0
2004.06.01	395.41	405.35	381.35	392.10	33057	0	0
2004.07.01	392.80	409.47	385.18	391.33	124428	0	0
2004.08.01	391.27	414.44	388.73	410.21	43484	0	0
2004.09.01	410.20	419.36	394.87	418.76	21387	0	0
2004.10.01	418.75	430.55	409.55	428.60	6588	0	0
2004.11.01	429.10	455.55	417.05	450.85	27271	0	0
2004.12.01	451.10	457.05	431.51	438.32	121661	0	0
2005.01.01	438.45	461.35	416.57	422.60	126129	0	0
2005.02.01	422.58	438.43	410.25	435.61	97184	0	0
2005.03.01	435.62	447.50	423.28	428.73	105838	0	0
2005.04.01	428.71	438.45	421.83	434.95	109594	0	0
2005.05.01	434.96	435.87	414.15	417.10	98313	0	0
2005.06.01	416.31	444.00	414.38	435.55	84503	0	0
2005.07.01	435.50	437.00	417.85	429.60	65954	0	0
2005.08.01	429.80	450.04	428.80	435.05	125365	0	0
2005.09.01	435.10	475.20	434.60	468.90	139460	0	0
2005.10.01	468.75	480.11	459.75	465.65	154968	0	0
2005.11.01	465.90	502.45	454.80	492.85	139578	0	0
2005.12.01	492.95	541.00	489.45	516.97	55011	0	0
2006.01.01	516.98	572.70	516.98	568.20	112384	0	0
2006.02.01	570.60	575.10	534.65	561.40	118250	0	0
2006.03.01	561.35	589.35	533.50	582.28	145366	0	0
2006.04.01	582.50	655.80	581.65	654.53	152623	0	0
2006.05.01	654.35	730.25	635.50	644.94	150245	0	0
2006.06.01	644.85	645.53	542.54	615.28	111552	0	0
2006.07.01	613.00	674.82	601.90	636.14	111984	0	0
2006.08.01	636.25	655.92	607.11	626.89	117717	0	0
2006.09.01	626.54	640.24	570.45	598.40	104428	0	0
2006.10.01	598.39	610.52	559.07	606.28	111094	0	0
2006.11.01	606.36	648.65	605.25	647.60	80673	0	0
2006.12.01	647.90	649.75	612.25	636.35	64802	0	0
2007.01.01	637.78	654.40	601.75	652.45	121992	0	0
2007.02.01	652.75	688.80	642.80	668.91	161408	0	0
2007.03.01	668.96	677.15	632.30	663.30	189377	0	0
2007.04.01	665.25	693.55	656.05	678.20	125764	0	0
2007.05.01	678.15	690.70	651.90	660.40	172568	0	0
2007.06.01	660.43	673.80	639.22	649.20	201594	0	0
2007.07.01	649.25	687.80	645.03	664.00	207714	0	0
2007.08.01	664.05	676.80	641.75	672.95	275862	0	0
2007.09.01	672.70	745.85	671.35	743.20	284073	0	0
2007.10.01	743.65	797.30	720.70	795.75	406783	0	0
2007.11.01	795.80	845.65	772.70	783.38	543164	0	0
2007.12.01	784.05	843.08	776.95	832.89	329365	0	0
2008.01.01	833.50	936.85	833.50	926.03	522738	0	0
2008.02.01	925.80	976.18	884.20	973.60	456893	0	0
2008.03.01	973.80	1032.60	904.48	916.10	468123	0	0
2008.04.01	916.20	952.80	862.38	877.43	493991	0	0
2008.05.01	877.10	935.25	845.05	886.40	484589	0	0
