<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2001.06.03	266.50	275.50	264.25	274.00	3375	0	0
2001.06.10	273.00	277.40	266.10	271.80	5055	0	0
2001.06.17	271.00	276.20	270.60	272.90	3610	0	0
2001.06.24	272.30	279.55	267.30	271.10	4775	0	0
2001.07.01	270.60	272.50	264.15	266.50	3285	0	0
2001.07.08	266.50	270.35	265.10	267.60	2760	0	0
2001.07.15	266.95	272.35	266.25	270.30	3010	0	0
2001.07.22	270.15	270.80	265.00	267.80	2560	0	0
2001.07.29	267.60	269.55	264.00	268.80	2675	0	0
2001.08.05	268.50	277.55	265.75	274.80	3350	0	0
2001.08.12	273.50	281.70	273.00	279.50	3645	0	0
2001.08.19	279.00	280.05	271.55	273.10	3915	0	0
2001.08.26	272.25	276.75	270.15	274.70	3170	0	0
2001.09.02	274.45	275.25	270.70	273.40	2635	0	0
2001.09.09	273.00	296.00	270.45	285.80	10345	0	0
2001.09.16	288.00	296.10	283.75	291.70	6821	0	0
2001.09.23	290.50	294.65	286.50	293.45	5166	0	0
2001.09.30	292.00	293.70	288.10	291.20	3917	0	0
2001.10.07	290.75	294.62	279.70	284.70	5254	0	0
2001.10.14	284.20	286.25	277.20	279.90	4675	0	0
2001.10.21	279.40	280.00	273.95	277.60	2875	0	0
2001.10.28	277.10	282.50	276.65	280.20	2860	0	0
2001.11.04	279.70	281.60	276.00	277.95	3035	0	0
2001.11.11	277.20	282.50	273.45	275.10	4025	0	0
2001.11.18	274.60	276.25	271.70	273.15	2425	0	0
2001.11.25	272.80	276.55	272.00	274.65	2330	0	0
2001.12.02	274.15	278.70	273.10	274.80	2875	0	0
2001.12.09	274.30	279.95	270.95	278.70	2395	0	0
2001.12.16	277.35	281.75	274.00	278.40	3640	0	0
2001.12.23	277.70	281.25	275.55	276.80	2891	0	0
2001.12.30	275.90	280.75	275.65	279.20	2680	0	0
2002.01.06	278.40	290.00	276.90	287.80	3832	0	0
2002.01.13	286.60	290.00	282.45	283.80	3800	0	0
2002.01.20	283.30	284.55	277.35	279.20	2955	0	0
2002.01.27	279.20	287.70	276.60	286.50	3260	0	0
2002.02.03	285.25	309.30	284.90	304.00	6727	0	0
2002.02.10	303.50	305.80	295.10	298.10	5215	0	0
2002.02.17	298.50	299.88	289.55	293.00	4079	0	0
2002.02.24	292.75	300.12	290.40	298.40	3848	0	0
2002.03.03	297.60	300.62	287.40	290.00	3884	0	0
2002.03.10	289.35	295.40	288.85	290.30	3290	0	0
2002.03.17	289.80	298.38	289.50	298.00	2517	0	0
2002.03.24	297.40	305.27	295.35	302.75	3424	0	0
2002.03.31	301.75	307.45	297.75	300.30	4074	0	0
2002.04.07	299.85	303.75	296.75	301.90	3275	0	0
