<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.25	17688.00	17865.00	17677.00	17823.00	94723	0	0
2016.05.26	17825.00	17861.00	17774.00	17820.00	82323	0	0
2016.05.27	17819.00	17853.00	17799.00	17846.00	66323	0	0
2016.05.31	17893.00	17902.00	17705.00	17771.00	82323	0	0
2016.06.01	17765.00	17806.00	17645.00	17771.00	95023	0	0
2016.06.02	17769.00	17830.00	17688.00	17821.00	79923	0	0
2016.06.03	17815.00	17843.00	17673.00	17796.00	107223	0	0
2016.06.06	17797.00	17934.00	17774.00	17914.00	87823	0	0
2016.06.07	17910.00	17988.00	17899.00	17929.00	68223	0	0
2016.06.08	17927.00	18007.00	17899.00	17984.00	73823	0	0
2016.06.09	17985.00	17995.00	17903.00	17972.00	79323	0	0
2016.06.10	17965.00	17969.00	17800.00	17865.00	102423	0	0
2016.06.13	17715.00	17797.00	17617.00	17621.00	108923	0	0
2016.06.14	17623.00	17660.00	17495.00	17561.00	132423	0	0
2016.06.15	17560.00	17684.50	17526.00	17541.00	116373	0	0
2016.06.16	17547.00	17657.50	17370.50	17632.00	141123	0	0
2016.06.17	17630.00	17681.50	17502.50	17553.50	117173	0	0
2016.06.20	17643.00	17850.50	17641.00	17768.00	126723	0	0
2016.06.21	17747.00	17791.50	17699.50	17727.00	121973	0	0
2016.06.22	17722.00	17821.50	17670.00	17690.00	100673	0	0
2016.06.23	17754.00	17963.00	17743.50	17963.00	125673	0	0
2016.06.24	17983.00	18019.50	17177.50	17225.50	487323	0	0
2016.06.27	17206.00	17271.50	16958.50	16973.00	234623	0	0
2016.06.28	16974.00	17301.00	16974.00	17289.00	154073	0	0
2016.06.29	17297.00	17689.00	17250.00	17685.00	131123	0	0
2016.06.30	17665.00	17825.00	17554.50	17791.00	126573	0	0
2016.07.01	17785.00	17899.50	17758.50	17862.50	104523	0	0
2016.07.04	17885.00	17918.50	17836.50	17876.50	66569	0	0
2016.07.05	17871.00	17872.50	17686.00	17766.00	114823	0	0
2016.07.06	17765.00	17832.00	17615.50	17819.00	161623	0	0
2016.07.07	17820.00	17891.50	17724.00	17810.00	121073	0	0
2016.07.08	17814.00	18075.50	17777.00	18036.50	114223	0	0
2016.07.11	18033.00	18194.50	18028.00	18142.00	102973	0	0
2016.07.12	18146.00	18283.50	18128.50	18262.00	93923	0	0
2016.07.13	18260.00	18301.50	18220.50	18284.00	89723	0	0
2016.07.14	18283.00	18471.50	18261.50	18428.00	116523	0	0
2016.07.15	18416.00	18484.50	18374.00	18411.00	107023	0	0
2016.07.18	18420.00	18490.50	18407.50	18464.00	97323	0	0
2016.07.19	18456.00	18489.00	18398.50	18481.00	87223	0	0
2016.07.20	18492.00	18560.00	18451.00	18528.00	74573	0	0
2016.07.21	18521.00	18543.50	18392.00	18437.00	86973	0	0
2016.07.22	18436.00	18492.00	18414.50	18473.00	76323	0	0
2016.07.25	18481.00	18522.00	18375.50	18421.00	81523	0	0
2016.07.26	18423.00	18442.50	18308.50	18412.00	112223	0	0
2016.07.27	18422.00	18468.50	18353.00	18403.00	105323	0	0
2016.07.28	18405.00	18451.50	18290.50	18376.00	97373	0	0
2016.07.29	18374.00	18398.50	18293.50	18367.00	126873	0	0
2016.08.01	18406.00	18444.50	18277.50	18330.00	95623	0	0
2016.08.02	18338.00	18368.50	18167.50	18244.00	102023	0	0
2016.08.03	18243.00	18277.50	18185.50	18268.00	85673	0	0
2016.08.04	18269.00	18332.50	18248.50	18276.00	86773	0	0
2016.08.05	18270.00	18460.50	18268.00	18448.50	67573	0	0
