<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.01	17688.00	17902.00	17677.00	17771.00	325692	0	0
2016.06.01	17765.00	18019.50	16958.50	17791.00	2918556	0	0
2016.07.01	17785.00	18560.00	17615.50	18367.00	2138729	0	0
2016.08.01	18406.00	18619.50	18167.50	18389.00	1776829	0	0
2016.09.01	18388.00	18460.00	17817.00	18202.00	2405603	0	0
2016.10.01	18199.00	18316.00	17865.50	18077.00	2253582	0	0
2016.11.01	18073.50	19212.50	17415.50	19132.00	2523005	0	0
2016.12.01	19138.00	19929.50	19017.00	19707.50	9227475	0	0
2017.01.01	19782.00	20067.50	19605.50	19821.00	9521249	0	0
2017.02.01	19809.00	20830.50	19730.50	20823.00	8944394	0	0
2017.03.01	20822.00	21157.50	20353.00	20603.00	12619413	0	0
2017.04.01	20589.00	21007.50	20307.50	20878.00	11662646	0	0
2017.05.01	20881.00	21092.00	20472.00	21025.00	10981387	0	0
2017.06.01	21023.00	21488.50	20983.50	21309.50	11398366	0	0
2017.07.01	21312.00	21871.50	21222.50	21856.00	9203820	0	0
2017.08.01	21857.00	22128.50	21577.00	21961.00	11560102	0	0
2017.09.01	21959.00	22384.00	21658.00	22337.50	8708077	0	0
2017.10.01	22348.00	23434.00	22343.50	23330.00	7579045	0	0
2017.11.01	23328.00	24326.00	23203.00	24239.00	10882018	0	0
2017.12.01	24229.50	24893.00	23921.00	24698.00	12127092	0	0
2018.01.01	24771.00	26680.00	24714.00	26155.00	16853418	0	0
2018.02.01	26158.50	26277.00	23065.00	25086.00	49949689	0	0
2018.03.01	25086.50	25531.00	23494.00	24094.00	39687435	0	0
2018.04.01	24093.00	24824.00	23306.00	24109.00	34353883	0	0
2018.05.01	24119.00	25077.00	23466.00	24433.00	25182186	0	0
2018.06.01	24435.00	25397.00	23976.00	24278.00	23242221	0	0
2018.07.01	24265.50	25566.00	24023.00	25468.00	21886975	0	0
2018.08.01	25457.50	26182.00	24952.00	26015.00	18588381	0	0
2018.09.01	26017.50	26816.00	25762.00	26488.00	16496836	0	0
2018.10.01	26519.00	26960.00	24083.00	25048.00	46214603	0	0
2018.11.01	25048.00	26265.00	24244.00	25585.00	38418512	0	0
2018.12.01	25811.00	26084.00	21594.00	23166.00	48131099	0	0
2019.01.01	23070.00	25064.50	22560.00	25032.00	36055519	0	0
2019.02.01	25026.50	26235.60	24859.60	25924.30	21584629	0	0
2019.03.01	25914.30	26164.80	25209.80	25942.10	26131127	0	0
2019.04.01	25975.25	26689.75	25975.25	26636.75	18754066	0	0
2019.05.01	26643.25	26687.25	24785.55	24803.05	33359244	0	0
2019.06.01	24729.75	26918.55	24606.75	26665.05	21627713	0	0
2019.07.01	26812.75	27392.75	26606.55	26782.50	18866220	0	0
2019.08.01	26754.75	27144.55	25029.75	26372.05	40463074	0	0
2019.09.01	26202.75	27318.25	25975.55	26951.90	23884659	0	0
2019.10.01	26945.25	27220.25	25701.55	26974.40	27820553	0	0
2019.11.01	26981.25	28168.75	26955.25	28068.55	16498232	0	0
2019.12.01	28080.25	28716.75	27309.55	28402.55	15856425	0	0
2020.01.01	28594.75	29357.75	28081.75	28232.05	25164510	0	0
2020.02.01	28160.25	29538.25	24677.05	25531.55	43400364	0	0
2020.03.01	25127.40	27070.05	18044.40	21691.90	143571487	0	0
2020.04.01	21673.75	24787.75	20496.75	24115.00	71419802	0	0
2020.05.01	24014.75	25787.75	22702.55	25472.05	50057610	0	0
2020.06.01	25229.25	27618.25	24404.75	25641.00	66033633	0	0
2020.07.01	25639.25	27059.75	25289.75	26327.55	47089075	0	0
2020.08.01	26399.75	28780.25	26195.75	28385.00	30690579	0	0
2020.09.01	28368.25	29177.05	26406.05	27573.00	53347286	0	0
2020.10.01	27620.25	28842.55	25950.75	26429.05	47747587	0	0
2020.11.01	26362.75	30161.75	26170.25	29669.00	53399408	0	0
2020.12.01	29655.75	30491.25	29314.75	30277.05	32108901	0	0
2021.01.01	30478.25	31184.25	29752.05	29849.05	39546582	0	0
2021.02.01	29802.75	32029.25	29550.75	30858.55	34075411	0	0
2021.03.01	30854.76	33130.55	30404.05	32909.00	46683608	0	0
2021.04.01	32912.75	34140.55	32839.25	33805.55	25232550	0	0
2021.05.01	33820.75	34997.55	33199.25	34434.55	34340863	0	0
2021.06.01	34428.55	34823.05	32897.75	34443.00	27182472	0	0
2021.07.01	34442.50	35064.25	33619.45	34857.75	33217800	0	0
2021.08.01	34870.75	35543.25	34491.75	35387.50	27645781	0	0
2021.09.01	35384.75	35500.25	33475.55	33733.85	38184284	0	0
2021.10.01	33749.85	35775.05	33381.85	35724.35	38336168	0	0
2021.11.01	35793.85	36442.55	34387.05	34517.00	33734062	0	0
2021.12.01	34525.85	36568.05	33926.35	36220.55	41420889	0	0
2022.01.01	36304.00	36829.05	33030.55	34914.50	60952401	0	0
2022.02.01	34923.85	35747.35	32165.35	33838.50	60867166	0	0
2022.03.01	33823.35	35276.55	32308.85	34697.50	66590426	0	0
2022.04.01	34698.35	35409.55	32818.05	32969.50	47222391	0	0
2022.05.01	32987.85	34023.05	30587.55	32993.35	66452035	0	0
2022.06.01	33015.85	33283.35	29637.05	30706.00	2063730	0	500
2022.07.01	30713.35	32875.55	30106.55	32807.50	2175804	0	500
2022.08.01	32823.35	34243.05	31498.85	31561.35	2342390	0	500
2022.09.01	31557.85	32026.55	30972.35	31036.35	445165	0	500
