<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.08.08	1170.90	1188.60	1099.80	1104.60	17902	0	0
2011.08.09	1104.30	1178.30	1077.10	1175.60	22028	0	0
2011.08.10	1175.30	1177.10	1113.60	1123.10	18038	0	0
2011.08.11	1123.60	1183.60	1103.20	1166.10	15571	0	0
2011.08.12	1166.20	1186.30	1146.60	1176.70	10606	0	0
2011.08.14	1177.80	1184.30	1177.80	1183.60	213	0	0
2011.08.15	1183.80	1201.30	1178.20	1195.60	6944	0	0
2011.08.16	1195.80	1201.10	1177.30	1187.60	7940	0	0
2011.08.17	1187.30	1206.10	1181.60	1187.80	7008	0	0
2011.08.18	1187.90	1187.90	1128.10	1136.40	10010	0	0
2011.08.19	1136.60	1152.80	1117.30	1123.80	10886	0	0
2011.08.21	1115.60	1118.60	1114.30	1118.10	258	0	0
2011.08.22	1117.80	1146.10	1115.30	1121.60	8978	0	0
2011.08.23	1121.70	1161.10	1118.30	1155.60	8356	0	0
2011.08.24	1155.90	1176.30	1142.60	1167.80	8504	0	0
2011.08.25	1168.10	1188.10	1152.80	1160.80	8493	0	0
2011.08.26	1160.60	1179.30	1132.60	1175.10	8048	0	0
2011.08.28	1175.70	1178.10	1174.80	1177.10	124	0	0
2011.08.29	1177.30	1208.30	1175.30	1207.10	5207	0	0
2011.08.30	1207.30	1218.30	1193.60	1202.80	6789	0	0
2011.08.31	1203.10	1229.30	1202.30	1216.80	6702	0	0
2011.09.01	1217.10	1228.10	1198.90	1199.60	7710	0	0
2011.09.02	1199.30	1202.80	1168.30	1169.60	6988	0	0
2011.09.04	1163.10	1165.90	1161.80	1165.80	220	0	0
2011.09.05	1165.90	1166.30	1136.10	1138.60	5244	0	0
2011.09.06	1138.80	1167.80	1135.80	1166.30	9739	0	0
2011.09.07	1166.60	1201.80	1165.80	1201.30	6720	0	0
2011.09.08	1201.10	1203.30	1179.10	1182.60	8836	0	0
2011.09.09	1182.30	1193.40	1146.60	1157.80	10277	0	0
2011.09.11	1146.70	1149.10	1146.60	1147.60	205	0	0
