Fecha,banano,flores,total_sector_agro,oro,esmeraldas,total_sector_minero,textil,quimicos,papel,cuero ,alimentos,total_sector_industrial
01/01/1970,0,0,3.7,0,0.3,1.5,3.7,0.6,0.2,0.5,2.1,8.9
01/02/1970,0,0,4.6,0,0.3,1.7,4.5,0.8,0.3,0.6,2.6,10.8
01/03/1970,0,0,5.6,0,0.4,2.1,5.6,0.9,0.4,0.8,3.2,13.4
01/04/1970,0,0,4.3,0,0.3,1.7,4.4,0.7,0.3,0.6,2.5,10.5
01/05/1970,0,0,5.4,0,0.4,2.1,5.3,0.9,0.4,0.8,3.1,13
01/06/1970,0,0,4,0,0.3,1.6,4,0.7,0.3,0.6,2.3,9.8
01/07/1970,0,0,3.8,0,0.3,1.5,3.8,0.6,0.3,0.5,2.2,9.3
01/08/1970,0,0,4.3,0,0.3,1.6,4.2,0.7,0.3,0.6,2.4,10.2
01/09/1970,0,0,5,0,0.3,1.8,4.9,0.8,0.3,0.7,2.8,11.9
01/10/1970,0,0,2.7,0,0.2,1,2.7,0.4,0.2,0.4,3.2,8.1
01/11/1970,0,0,3.7,0,0.3,1.4,3.6,0.6,0.2,0.5,2.1,8.7
01/12/1970,0,0,4.3,0,0.3,1.6,4.3,0.7,0.3,0.6,2.5,10.4
01/01/1971,1.1,0.1,5,0,0.1,1,2.8,0.8,0.3,0.6,0.9,7.2
01/02/1971,1,0.1,3.4,0,0.4,0.5,2.4,0.8,0.4,0.3,2.1,7.3
01/03/1971,1.1,0.2,6.4,0,0.3,1.8,6.6,1,0.4,0.8,2.9,14.5
01/04/1971,1.6,0.1,5,0,0.3,0.6,8.2,1.1,0.4,0.6,4.8,18.3
01/05/1971,1.3,0.2,4,0,0.3,1.2,8.3,1.2,0.3,0.7,5.6,19
01/06/1971,1.2,0.1,4.1,0,0.8,1.2,6.1,1.6,0.3,0.8,2.3,13.3
01/07/1971,1.3,0.1,3.2,0,0.4,0.9,1.9,0.5,0.1,0.3,1.3,5.5
01/08/1971,1.2,0.1,4.9,0,0.5,1.6,2.8,1.2,0.5,1,2.4,10.3
01/09/1971,1,0.2,5.2,0,0.3,1.2,4.3,1.4,0.4,0.7,3.8,14.3
01/10/1971,1.1,0.2,5.5,0,0.2,1.9,3.2,1.6,0.6,0.7,0.7,9.7
01/11/1971,1.3,0.1,4.8,0,1,1.5,5.1,1.1,0.5,0.8,1.6,19.6
01/12/1971,1.4,0.3,6.2,0,1.5,1.7,2.4,1.5,0.4,1.2,4.9,13.5
01/01/1972,1.4,0.1,5.8,0,0.5,0.8,3.6,1.3,0.4,0.7,3.1,11.7
01/02/1972,1.3,0.2,4.6,0,1,1.3,2.9,1.3,0.2,0.9,2.1,9.9
01/03/1972,1.1,0.3,4.7,0,3.5,4.5,11.3,1.5,0.4,1.3,5.5,22.3
01/04/1972,1.1,0.3,6.5,0,2.7,3,11.9,1.6,0.5,1.4,3.6,22.3
01/05/1972,1,0.3,4.3,0,5.1,5.9,7.3,1.1,0.5,1.4,4.2,17
01/06/1972,1.1,0.2,5.9,0,5.2,5.9,10.7,1.5,0.4,2.2,5.7,24.8
01/07/1972,1,0.1,8.3,0,4.8,7.9,7.5,2,0.6,1.6,3.3,19.1
01/08/1972,0.8,0.2,8.1,0,4.7,6.1,7.6,1.7,0.8,1.7,4.3,20.3
01/09/1972,1.3,0.3,4.8,0,5.8,6.3,5.2,1.8,0.9,1.8,4.2,17.2
01/10/1972,1.2,0.3,7.6,0,3.4,4.2,9.9,2.7,0.8,2.1,3.9,23.1
01/11/1972,0,0.3,6.3,0,4.6,6.6,7.9,2.3,0.8,2.8,4.4,21.9
01/12/1972,2.4,0.5,8.4,0,4.8,6,5.1,1.8,3.8,3.4,8.8,28.1
01/01/1973,1.1,0.6,6.9,0,5.4,6.4,5.3,1.7,0.9,2.2,3.4,17
01/02/1973,1.1,0.3,7,0,3.4,5.8,6.3,1.8,0.6,1.4,7.2,20.6
01/03/1973,1.2,0.5,8.2,0,4,4.7,7.8,1.8,0.8,2.1,7.9,25.6
01/04/1973,1.1,0.8,8.4,0,6.1,7,14.1,2.9,1,3,4.9,30.9
01/05/1973,1,0.8,7.1,0,9.7,10.2,5.5,2.4,1,3.4,3.3,19.7
01/06/1973,1.1,0.4,6.8,0,6.5,7.7,11.3,3.1,1.2,2.1,4.6,27.8
01/07/1973,1.4,1,6.9,0,8.4,10.4,9.6,3.8,0.9,2.3,1.6,24.9
01/08/1973,1.6,0.4,8.4,0,13.4,15,7.9,3.1,0.7,2.7,4.9,26.8
01/09/1973,1.5,0.7,8.3,0,9.4,12.3,9.2,4.2,0.8,2.4,3.3,27.4
01/10/1973,1.5,0.6,7.9,0,6.2,8.6,13.1,5.1,1.2,2,3.9,36.5
01/11/1973,1.7,1.2,9.9,0,4.6,5.8,13.4,3.4,0.8,2.4,1.3,31.3
01/12/1973,1.2,0.9,10.6,0,3.2,6.6,11.1,3.6,0.8,3.9,7.1,33.5
01/01/1974,1.6,1.7,10.9,0,0.7,1,8.7,4.3,1.2,2.6,0.7,29.2
01/02/1974,1.1,2,21.7,0,0.4,1.5,9.3,5.3,0.9,1.8,0.8,28.6
01/03/1974,1.9,1,21.1,0,0.4,2.2,14.2,5.5,0.6,2.4,0.5,34.7
01/04/1974,1.3,1.1,12.7,0,0.4,4,13.2,3.4,0.8,1.5,1.9,28.3
01/05/1974,2.2,1.6,11.4,0,0.1,2.1,15.2,7.1,1,1.7,5.2,42.3
01/06/1974,2.1,1.3,12.8,0,0.3,3.5,16.1,7.9,0.9,1.9,3.6,41.8
01/07/1974,2,1.2,11.1,0,0.6,4.1,14,7.7,1,1.9,0.9,34.6
01/08/1974,2.2,1.1,9.1,0,0.5,1,12.1,5.6,1.3,1.7,9,41.2
01/09/1974,2.2,1.3,15,0,0.2,0.6,13.5,5.8,1.6,1.9,15,48.3
01/10/1974,2.8,0.9,11.5,0,1.3,1.5,7.8,6.1,1.4,1.9,17,44.8
